Name
As
Au
Ba
Bi
Br
Cd
Ce
Co
Cr
Cs
Dy
Er
Eu
Fe
Ga
Gd
Ge
Hg
Ho
I
In
Ir
Kr
La
Mn
Mo
Nb
Nd
Os
Pb
Pd
Pm
Pr
Pt
Rb
Re
Rh
Ru
Sb
Se
Sm
Sn
Sr
Ta
Tb
Tc
Te
Tl
Tm
V
W
Y
Yb
Zr
