Name
Ac
Ag
Al
Am
As
At
Au
Ba
Be
Bi
Bk
Br
C
Ca
Cd
Ce
Cf
Cl
Cm
Co
Cr
Cs
Cu
Dy
Er
Es
Eu
F
Fe
Fm
Fr
Ga
Gd
Ge
H
Hf
Hg
Ho
I
In
Ir
K
La
Lu
Md
Mg
Mn
Mo
Na
Nb
Nd
Ni
Np
Os
P
Pa
Pb
Pd
Pm
Po
Pr
Pt
Pu
Ra
Rb
Re
Rh
Ru
S
Sb
Sc
Se
Si
Sm
Sn
Sr
Ta
Tb
Tc
Te
Th
Ti
Tl
Tm
U
V
W
Y
Yb
Zn
Zr
