"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"H-3","12.35y","1 OBT","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.7E-11","4.1E-11","4.2E-11","4.4E-11","4.3E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.2E-11"
"H-3","12.35y","1.0","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11"
"Be-7","53.3d","0.005","4E-12","1.8E-11","5.9E-12","6.9E-13","8.8E-13","8.4E-13","1.5E-11","4.8E-11","7.1E-11","1.3E-10","9.5E-11","7.9E-12","5.1E-12","6.8E-12","5.5E-11","6.9E-12","1.2E-11","6E-13","1.4E-12","2.5E-12","5.5E-12","5.9E-12","8.4E-13","6E-13","2.5E-11","7.4E-12","2.8E-11"
"Be-10","1.6E6y","0.005","2.5E-11","2.8E-11","2.2E-09","2.5E-11","2.5E-11","2.5E-11","3.2E-10","7.5E-10","4.4E-09","1.3E-08","8.1E-09","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","7.3E-10","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","4E-11","1.1E-09"
"C-11","20.38m","1.0","3.6E-12","1.3E-12","1.5E-12","8.7E-13","1.4E-12","1.4E-12","1.8E-10","6.5E-12","4.5E-12","2.1E-12","3.4E-12","3.2E-12","2.3E-12","1.8E-12","2E-12","1.1E-11","1.8E-12","1E-12","1.9E-12","1.2E-12","7.3E-12","1E-12","1.4E-12","1E-12","1.8E-12","2E-12","2.4E-11"
"C-14","5730y","1.0","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","6.3E-10","5.7E-10","5.8E-10","6E-10","5.9E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.8E-10"
"F-18","109.77m","1.0","1.6E-11","4.1E-12","6E-11","5.9E-12","4.1E-12","4.7E-12","2.9E-10","1.6E-11","1.8E-11","1.1E-11","1.5E-11","1.1E-11","6.8E-12","6.7E-12","9.4E-12","2.8E-11","6.5E-11","4.4E-12","7.2E-12","3.9E-12","1.8E-11","2.4E-12","4.7E-12","4.4E-12","6.8E-12","7E-12","4.9E-11"
"Na-22","2.602y","1.0","3.4E-09","4.3E-09","6.3E-09","2.6E-09","2E-09","2.5E-09","2.9E-09","3E-09","2.9E-09","3.4E-09","3.1E-09","2.9E-09","2.7E-09","2.6E-09","3.2E-09","3.2E-09","4.6E-09","2.7E-09","2.6E-09","1.9E-09","2.8E-09","2.4E-09","2.5E-09","2.7E-09","3.1E-09","2.6E-09","3.2E-09"
"Na-24","15.00h","1.0","3.4E-10","4.2E-10","5.4E-10","2.5E-10","2.2E-10","2.7E-10","1.2E-09","3.4E-10","3.9E-10","4.1E-10","4E-10","3.1E-10","2.9E-10","2.7E-10","3.3E-10","3.9E-10","3.9E-10","2.7E-10","2.6E-10","2.1E-10","3.3E-10","2.6E-10","2.7E-10","2.7E-10","3.2E-10","2.7E-10","4.3E-10"
"Mg-28","20.91h","0.5","2.9E-10","6.6E-10","1.6E-09","1.8E-10","1.7E-10","1.9E-10","2.1E-09","2.8E-09","9.9E-09","1.5E-08","1.2E-08","3.4E-10","2.8E-10","2.8E-10","9.6E-10","3.6E-10","9.7E-10","1.9E-10","2.1E-10","1.9E-10","3E-10","2.3E-10","1.9E-10","1.9E-10","5.6E-10","3.3E-10","2.2E-09"
"Al-26","7.16E5y","0.01","6E-10","1.2E-09","1.1E-09","3.2E-10","3.1E-10","3.6E-10","1.6E-09","3.9E-09","1.2E-08","2.9E-08","1.9E-08","7.5E-10","6E-10","6.5E-10","3E-09","7.2E-10","1.4E-09","3.5E-10","3.9E-10","3.8E-10","6.1E-10","5.7E-10","3.6E-10","3.5E-10","1.5E-09","7E-10","3.5E-09"
"Si-31","157.3m","0.01","8.2E-14","9.5E-14","7.8E-14","7.3E-14","7.5E-14","7.4E-14","5.4E-10","6.6E-10","8.8E-10","3.5E-10","6.5E-10","8.9E-14","8.3E-14","8.1E-14","1.2E-13","9.9E-14","8.4E-14","7.3E-14","7.6E-14","7.6E-14","9E-14","7.6E-14","7.4E-14","7.3E-14","1.1E-13","3.3E-10","1.6E-10"
"Si-32","450y","0.01","1.2E-10","1.3E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.9E-10","3.2E-10","1.7E-09","6.4E-09","3.7E-09","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","1.2E-10","5.6E-10"
"P-32","14.29d","0.8","6.7E-10","1.7E-09","8.2E-09","6.7E-10","6.7E-10","6.7E-10","1.5E-09","1.1E-09","3.4E-09","8.4E-09","5.6E-09","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.7E-10","8.2E-09","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.7E-10","6.8E-10","2.4E-09"
"P-33","25.4d","0.8","9.6E-11","2.3E-10","1.4E-09","9.6E-11","9.6E-11","9.6E-11","1.8E-10","1.4E-10","4.1E-10","1E-09","6.7E-10","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","5.1E-10","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.7E-11","2.4E-10"
"S-35","87.44d","1.0","7.5E-10","8.3E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","8.1E-10","7.5E-10","7.9E-10","8.7E-10","8.3E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.5E-10","7.7E-10"
"S-35","87.44d","1.0","9.6E-11","2.9E-10","9.6E-11","9.6E-11","9.6E-11","9.6E-11","1.5E-10","9.7E-11","1.8E-10","3.5E-10","2.5E-10","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","1.3E-10"
"Cl-36","3.01E5y","1.0","8E-10","2.1E-09","8E-10","8E-10","8E-10","8E-10","1.1E-09","8.1E-10","9E-10","1.1E-09","9.8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","8E-10","9.3E-10"
"Cl-38","37.21m","1.0","1.1E-11","7.7E-12","7.7E-12","6.4E-12","7.5E-12","7.7E-12","9E-10","3.1E-11","1.9E-11","9.5E-12","1.5E-11","1.1E-11","9.1E-12","8.2E-12","8.7E-12","2.3E-11","8.1E-12","6.9E-12","8.4E-12","6.9E-12","1.7E-11","6.8E-12","7.7E-12","6.9E-12","8.5E-12","8.8E-12","1.2E-10"
"Cl-39","55.6m","1.0","1.4E-11","9.6E-12","9.6E-12","7.5E-12","8.8E-12","9.3E-12","6.2E-10","2.7E-11","2.2E-11","1.2E-11","1.8E-11","1.3E-11","1.1E-11","1E-11","1.1E-11","3E-11","9.8E-12","8.3E-12","1E-11","7.9E-12","2.2E-11","8.1E-12","9.3E-12","8.3E-12","1.1E-11","1E-11","8.5E-11"
"K-40","1.28E9y","1.0","5.1E-09","6.3E-09","5E-09","4.9E-09","4.9E-09","5E-09","5.6E-09","5.1E-09","9.7E-09","1.9E-08","1.4E-08","5E-09","5E-09","5E-09","5.1E-09","5.1E-09","5E-09","5E-09","5E-09","4.8E-09","5E-09","5E-09","5E-09","5E-09","5.1E-09","5E-09","6.2E-09"
"K-42","12.36h","1.0","2.1E-10","2.4E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","1.8E-09","2.5E-10","4.3E-10","4.8E-10","4.5E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.2E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","2.1E-10","4.3E-10"
"K-43","22.6h","1.0","2E-10","2E-10","1.9E-10","1.5E-10","1.4E-10","1.7E-10","6.2E-10","2.1E-10","2.8E-10","3.5E-10","3.1E-10","1.9E-10","1.8E-10","1.7E-10","2E-10","2.2E-10","1.8E-10","1.7E-10","1.7E-10","1.4E-10","2E-10","1.7E-10","1.7E-10","1.7E-10","2E-10","1.7E-10","2.5E-10"
"K-44","22.13m","1.0","7.9E-12","4E-12","4.2E-12","3E-12","4.3E-12","4.3E-12","6.6E-10","2.1E-11","1.2E-11","5.5E-12","9E-12","7.6E-12","5.8E-12","4.9E-12","5.2E-12","2.2E-11","4.7E-12","3.4E-12","5.1E-12","3.7E-12","1.5E-11","3.3E-12","4.3E-12","3.4E-12","5E-12","5.3E-12","8.4E-11"
"K-45","20m","1.0","5.6E-12","2.6E-12","2.9E-12","1.8E-12","2.8E-12","2.8E-12","4.2E-10","1.4E-11","8E-12","3.9E-12","6.2E-12","5.5E-12","4E-12","3.4E-12","3.5E-12","1.7E-11","3.2E-12","2.1E-12","3.5E-12","2.3E-12","1.1E-11","2.1E-12","2.8E-12","2.1E-12","3.4E-12","3.6E-12","5.4E-11"
"Ca-41","1.4E5y","0.3","2.4E-12","4.6E-12","3.4E-09","2.4E-12","2.4E-12","2.4E-12","5.6E-12","7.9E-12","4.2E-11","1.2E-10","7.5E-11","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","1.2E-09","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.5E-12","1.9E-10"
"Ca-45","163d","0.3","3.9E-11","8.1E-11","6.2E-09","3.9E-11","3.9E-11","3.9E-11","1.3E-10","2E-10","1.1E-09","3.1E-09","2E-09","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.1E-09","3.9E-11","4E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","3.9E-11","4.3E-11","7.1E-10"
"Ca-47","4.53d","0.3","2.7E-10","4.8E-10","1.7E-09","1.6E-10","1.5E-10","1.7E-10","7.7E-10","1.5E-09","5.4E-09","1.3E-08","8.8E-09","2.9E-10","2.3E-10","2.5E-10","8.6E-10","2.8E-10","1.1E-09","1.7E-10","1.8E-10","1.6E-10","2.4E-10","2.1E-10","1.7E-10","1.7E-10","4.8E-10","2.7E-10","1.6E-09"
"Sc-43","3.891h","0.0001","1.7E-11","3E-11","1.1E-11","6.8E-14","3.4E-12","2.4E-12","4.3E-10","6E-10","1.1E-09","5.7E-10","8.5E-10","3.1E-11","2.1E-11","1.7E-11","1.2E-10","4.6E-11","2.5E-11","4E-13","5.3E-12","6.1E-12","3E-11","6.9E-12","2.4E-12","4E-13","7.3E-11","2.9E-11","1.9E-10"
"Sc-44","3.927h","0.0001","3.2E-11","5.5E-11","2E-11","2.1E-13","7.2E-12","5.2E-12","8.2E-10","1.1E-09","2E-09","1.1E-09","1.6E-09","5.8E-11","4E-11","3.3E-11","2.2E-10","8.4E-11","4.7E-11","1E-12","1.1E-11","1.2E-11","5.5E-11","1.4E-11","5.2E-12","1E-12","1.4E-10","5.5E-11","3.5E-10"
"Sc-44m","58.6h","0.0001","9.6E-11","5.2E-10","1.4E-10","6.7E-13","2E-11","1.5E-11","5E-10","2.4E-09","1E-08","2.4E-08","1.6E-08","2.2E-10","1.5E-10","1.9E-10","1.7E-09","1.8E-10","3.1E-10","3.8E-12","2.9E-11","7.2E-11","1.4E-10","1.7E-10","1.5E-11","3.8E-12","7.4E-10","2.3E-10","2.4E-09"
"Sc-46","83.83d","0.0001","1.3E-10","6.3E-10","1.7E-10","2E-12","3E-11","2.3E-11","6.9E-10","2.1E-09","4.7E-09","1E-08","7.1E-09","2.8E-10","2E-10","2.4E-10","2.1E-09","2.5E-10","3.8E-10","6.6E-12","4.3E-11","9.5E-11","2.2E-10","2E-10","2.3E-11","6.6E-12","9E-10","2.7E-10","1.5E-09"
"Sc-47","3.351d","0.0001","6.2E-12","3.4E-11","1.4E-11","1.2E-14","7.5E-13","5.6E-13","2.2E-10","5.4E-10","2.6E-09","6.1E-09","4.1E-09","1.5E-11","9.4E-12","1.2E-11","1E-10","1.3E-11","1.8E-11","7.7E-14","1.4E-12","3.5E-12","1.1E-11","8.5E-12","5.6E-13","7.7E-14","5E-11","2.2E-11","5.4E-10"
"Sc-48","43.7h","0.0001","1.6E-10","6.4E-10","1.8E-10","1.5E-12","3.7E-11","2.7E-11","9.9E-10","2.6E-09","6.5E-09","1.1E-08","8.4E-09","3.4E-10","2.4E-10","2.6E-10","2.2E-09","3.2E-10","4E-10","7.2E-12","5.2E-11","1E-10","2.4E-10","2E-10","2.7E-11","7.2E-12","1E-09","3E-10","1.7E-09"
"Sc-49","57.4m","0.0001","5.2E-15","4.2E-15","2.3E-15","1.9E-16","1.6E-15","1.3E-15","5.5E-10","3.5E-10","2E-10","3.2E-11","1.3E-10","7.3E-15","4.8E-15","3.6E-15","1.6E-14","1.7E-14","4.5E-15","3.5E-16","2.2E-15","1.7E-15","1.2E-14","1.1E-15","1.3E-15","3.5E-16","1.3E-14","7.3E-12","8.2E-11"
"Ti-44","47.3y","0.01","2.8E-09","3.2E-09","2.9E-09","2.1E-09","2E-09","2.5E-09","3E-09","5.4E-09","1.4E-08","3.8E-08","2.5E-08","2.8E-09","2.7E-09","2.6E-09","5E-09","3E-09","2.8E-09","2.4E-09","2.4E-09","2E-09","2.7E-09","2.5E-09","2.5E-09","2.4E-09","3.7E-09","2.6E-09","5.8E-09"
"Ti-45","3.08h","0.01","1.2E-11","1.8E-11","6.8E-12","1.5E-13","2.5E-12","1.8E-12","4.4E-10","5.6E-10","8.6E-10","3.9E-10","6.5E-10","2E-11","1.4E-11","1.1E-11","7E-11","3.3E-11","1.6E-11","3.9E-13","3.8E-12","4E-12","2.1E-11","4.1E-12","1.8E-12","3.9E-13","4.6E-11","2.2E-11","1.5E-10"
"V-47","32.6m","0.01","4E-12","2.1E-12","1.2E-12","2.4E-14","9.1E-13","6.6E-13","4.5E-10","1.8E-10","7.3E-11","1.1E-11","4.6E-11","4.7E-12","2.8E-12","2.2E-12","8.4E-12","1.4E-11","2.6E-12","9.6E-14","1.4E-12","8.5E-13","9.1E-12","4.2E-13","6.6E-13","9.6E-14","6.8E-12","5.9E-12","6.3E-11"
"V-48","16.238d","0.01","2E-10","8.8E-10","2.8E-10","1.6E-11","4.9E-11","4.1E-11","9.7E-10","2.8E-09","6.3E-09","1.3E-08","9.4E-09","4E-10","2.8E-10","3.4E-10","2.8E-09","3.6E-10","5.8E-10","2E-11","7E-11","1.4E-10","2.8E-10","2.9E-10","4.1E-11","2E-11","1.3E-09","3.8E-10","2E-09"
"V-49","330d","0.01","2.3E-13","3E-13","1E-11","2.3E-13","2.3E-13","2.3E-13","5.4E-12","1.3E-11","7.8E-11","2.3E-10","1.4E-10","2.3E-13","2.3E-13","2.3E-13","2.3E-13","2.3E-13","3.6E-12","2.3E-13","2.3E-13","2.3E-13","2.3E-13","2.3E-13","2.3E-13","2.3E-13","2.3E-13","4.9E-13","1.8E-11"
"Cr-48","22.96h","0.1","3.9E-11","1.1E-10","5.4E-11","1.2E-11","1.4E-11","1.7E-11","1.3E-10","3.3E-10","6.1E-10","1E-09","8E-10","6.2E-11","4.7E-11","5E-11","3.2E-10","6.3E-11","7.6E-11","1.5E-11","2E-11","2.2E-11","4.9E-11","4.1E-11","1.7E-11","1.5E-11","1.6E-10","5.4E-11","2E-10"
"Cr-48","22.96h","0.01","2.4E-11","1E-10","3.6E-11","1.3E-12","4.7E-12","4.1E-12","1.2E-10","3.4E-10","6.4E-10","1.1E-09","8.4E-10","5.1E-11","3.4E-11","4E-11","3.3E-10","4.9E-11","6.2E-11","2E-12","7.4E-12","1.4E-11","3.7E-11","3E-11","4.1E-12","2E-12","1.6E-10","4.5E-11","2E-10"
"Cr-49","42.09m","0.1","5.3E-12","3.3E-12","2.1E-12","1.1E-13","1.2E-12","8.9E-13","4.1E-10","1.9E-10","1E-10","1.8E-11","6.5E-11","6.5E-12","3.9E-12","3.1E-12","1.3E-11","1.8E-11","3.8E-12","2E-13","1.9E-12","1.2E-12","1.2E-11","6.8E-13","8.9E-13","2E-13","1E-11","7E-12","6.1E-11"
"Cr-49","42.09m","0.01","5.2E-12","3.2E-12","2E-12","3E-14","1.1E-12","8.1E-13","4.1E-10","2E-10","1E-10","1.8E-11","6.6E-11","6.5E-12","3.9E-12","3E-12","1.3E-11","1.8E-11","3.7E-12","1.2E-13","1.8E-12","1.1E-12","1.2E-11","6.1E-13","8.1E-13","1.2E-13","1E-11","7.1E-12","6.1E-11"
"Cr-51","27.704d","0.1","6.7E-12","1.6E-11","1E-11","3.7E-12","3.4E-12","4.2E-12","1.9E-11","4.6E-11","1.3E-10","3.1E-10","2E-10","8.8E-12","7.1E-12","7.6E-12","3.7E-11","8.7E-12","1.1E-11","4.2E-12","4.5E-12","4.2E-12","7.4E-12","7E-12","4.2E-12","4.2E-12","2E-11","8.3E-12","3.8E-11"
"Cr-51","27.704d","0.01","2.5E-12","1.2E-11","3.9E-12","3.7E-13","6.4E-13","6.5E-13","1.6E-11","4.5E-11","1.3E-10","3.2E-10","2.1E-10","5.1E-12","3.4E-12","4.4E-12","3.5E-11","4.6E-12","7E-12","4.6E-13","9.4E-13","1.6E-12","3.7E-12","3.8E-12","6.5E-13","4.6E-13","1.6E-11","5.1E-12","3.7E-11"
"Mn-51","46.2m","0.1","5.3E-12","3.5E-12","2.1E-12","1.6E-13","1.3E-12","9.7E-13","6.3E-10","3.2E-10","1.7E-10","2.8E-11","1.1E-10","6.6E-12","4.2E-12","3.2E-12","1.4E-11","1.8E-11","4.1E-12","2.6E-13","2E-12","1.3E-12","1.1E-11","8E-13","9.7E-13","2.6E-13","1.1E-11","9.9E-12","9.3E-11"
"Mn-52","5.591d","0.1","4.5E-10","9.6E-10","4.9E-10","1.1E-10","1.4E-10","1.5E-10","1E-09","2.8E-09","5.1E-09","9.1E-09","6.8E-09","5.9E-10","9.4E-10","4.5E-10","2.9E-09","5.7E-10","8E-10","1.2E-10","2.1E-10","2.1E-10","4E-10","3.5E-10","1.5E-10","1.2E-10","1.4E-09","4.9E-10","1.8E-09"
"Mn-52m","21.1m","0.1","6.4E-12","2.6E-12","1.8E-12","8.7E-14","1.7E-12","1.3E-12","5.2E-10","1.4E-10","4.7E-11","9.3E-12","3.1E-11","7E-12","4.2E-12","3.2E-12","9.8E-12","2.3E-11","3.5E-12","2.4E-13","2.5E-12","1.4E-12","1.5E-11","6.5E-13","1.3E-12","2.4E-13","8.2E-12","6.1E-12","6.9E-11"
"Mn-53","3.7E6y","0.1","1.6E-12","2.9E-12","3.2E-10","1.6E-12","1.6E-12","1.6E-12","7.8E-12","1.6E-11","9.1E-11","2.6E-10","1.7E-10","1.6E-12","3.8E-11","1.6E-12","1.6E-12","1.6E-12","2.7E-11","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.9E-12","3E-11"
"Mn-54","312.5d","0.1","4.7E-10","4.2E-10","6.3E-10","1.6E-10","1.5E-10","1.8E-10","4.3E-10","9.6E-10","1.4E-09","2.3E-09","1.8E-09","4.2E-10","1E-09","2.8E-10","1.1E-09","4.3E-10","6.1E-10","1.6E-10","2.5E-10","1.6E-10","2.6E-10","2E-10","1.8E-10","1.6E-10","5.6E-10","2.9E-10","7.1E-10"
"Mn-56","2.5785h","0.1","1.9E-11","2.5E-11","1.2E-11","1.6E-12","5.8E-12","4.8E-12","9E-10","9.9E-10","1.4E-09","5.3E-10","1E-09","3.1E-11","2.5E-11","1.7E-11","9.3E-11","5E-11","2.4E-11","2.2E-12","7.9E-12","7.6E-12","3.3E-11","7.2E-12","4.8E-12","2.2E-12","6.4E-11","3.7E-11","2.5E-10"
"Fe-52","8.275h","0.1","8.8E-11","1.9E-10","1.9E-10","1E-11","2.3E-11","2.1E-11","1.4E-09","3.2E-09","8.6E-09","8E-09","8.3E-09","1.5E-10","1.7E-10","9.8E-11","6.6E-10","1.6E-10","3.8E-10","1.2E-11","3.4E-11","4.1E-11","1.2E-10","5.6E-11","2.1E-11","1.2E-11","3.7E-10","1.6E-10","1.4E-09"
"Fe-55","2.7y","0.1","8.5E-11","8.5E-11","6.1E-10","8.5E-11","8.5E-11","8.5E-11","9.2E-11","1E-10","1.8E-10","3.6E-10","2.6E-10","8.5E-11","7.1E-10","8.5E-11","8.5E-11","8.5E-11","1.1E-09","8.5E-11","8.5E-11","8.5E-11","2.5E-09","8.5E-11","8.5E-11","8.5E-11","8.5E-11","1.3E-09","3.3E-10"
"Fe-59","44.529d","0.1","1E-09","8.9E-10","1.1E-09","4.5E-10","4.9E-10","6E-10","1.1E-09","1.9E-09","4E-09","8.3E-09","5.8E-09","9.7E-10","3E-09","6.9E-10","1.7E-09","1.1E-09","1.5E-09","5.4E-10","6.8E-10","4.6E-10","1.9E-09","5.9E-10","6E-10","5.4E-10","1.1E-09","7.2E-10","1.8E-09"
"Fe-60","1E5y","0.1","1E-07","5.2E-08","1.5E-07","4.4E-08","4.5E-08","5.5E-08","7.5E-08","7.1E-08","7.2E-08","7.2E-08","7.2E-08","9.2E-08","2.2E-07","5.6E-08","6.9E-08","1.1E-07","2.5E-07","5E-08","6.4E-08","3.9E-08","7E-07","4.3E-08","5.5E-08","5E-08","6.4E-08","3.8E-07","1.1E-07"
"Co-55","17.54h","0.1","8.2E-11","2.9E-10","7.8E-11","1.2E-11","2.5E-11","2.4E-11","8.4E-10","1.7E-09","5.1E-09","7E-09","5.9E-09","1.5E-10","1.2E-10","1.1E-10","7.7E-10","1.6E-10","1.6E-10","1.6E-11","3.4E-11","4.7E-11","1.2E-10","7.8E-11","2.4E-11","1.6E-11","3.9E-10","1.4E-10","1E-09"
"Co-56","78.76d","0.1","8.2E-10","1.6E-09","7.5E-10","3.6E-10","4E-10","4.9E-10","1.5E-09","3.5E-09","6.6E-09","1.3E-08","9.4E-09","9.8E-10","1.4E-09","8.1E-10","3.6E-09","1E-09","1E-09","4.6E-10","5.3E-10","4.6E-10","8E-10","7.4E-10","4.9E-10","4.6E-10","1.9E-09","8.5E-10","2.5E-09"
"Co-57","270.9d","0.1","7.7E-11","1.1E-10","1.1E-10","4.6E-11","4.1E-11","5.3E-11","1.2E-10","2.4E-10","5.9E-10","1.4E-09","9.4E-10","8E-11","1.6E-10","6.5E-11","2E-10","8.8E-11","7.7E-11","5.3E-11","5.8E-11","4.1E-11","7E-11","5.9E-11","5.3E-11","5.3E-11","1.3E-10","6.8E-11","2.1E-10"
"Co-58","70.80d","0.1","2.3E-10","4.6E-10","2.2E-10","1E-10","1.1E-10","1.4E-10","4.4E-10","1E-09","1.9E-09","3.9E-09","2.8E-09","2.8E-10","4E-10","2.3E-10","1.1E-09","2.9E-10","3.1E-10","1.3E-10","1.5E-10","1.3E-10","2.3E-10","2.1E-10","1.4E-10","1.3E-10","5.7E-10","2.4E-10","7.4E-10"
"Co-58m","9.15h","0.1","1.3E-12","3.7E-12","1.2E-12","6.9E-13","7E-13","8.5E-13","2.8E-11","5.1E-11","1.5E-10","1.7E-10","1.6E-10","1.4E-12","2.2E-12","1.2E-12","4.9E-12","1.4E-12","1.6E-12","8.3E-13","9E-13","7.7E-13","1.2E-12","1.2E-12","8.5E-13","8.3E-13","2.6E-12","2.3E-12","2.4E-11"
"Co-60","5.271y","0.1","2.5E-09","2.6E-09","2E-09","1.4E-09","1.3E-09","1.7E-09","2.5E-09","4.2E-09","6.5E-09","1.2E-08","8.7E-09","2.4E-09","4.4E-09","1.9E-09","4.3E-09","2.6E-09","2.1E-09","1.7E-09","1.8E-09","1.3E-09","2.1E-09","1.8E-09","1.7E-09","1.7E-09","3E-09","1.9E-09","3.4E-09"
"Co-60m","10.47m","0.1","1.6E-14","1.2E-14","1.1E-14","5.3E-15","6.9E-15","7.9E-15","1.4E-11","2.1E-12","2.7E-13","5.7E-14","1.8E-13","1.6E-14","2.1E-14","1.1E-14","2.3E-14","4E-14","1.1E-14","6.8E-15","9.8E-15","6.2E-15","2.7E-14","7.4E-15","7.9E-15","6.8E-15","1.8E-14","5.4E-14","1.7E-12"
"Co-61","1.65h","0.1","1.1E-12","3E-12","1.2E-12","2.6E-13","3.9E-13","3.5E-13","3.9E-10","3.4E-10","3.2E-10","8.5E-11","2.2E-10","1.6E-12","1.1E-12","9.4E-13","4.5E-12","3.4E-12","1.1E-12","2.7E-13","5.4E-13","4.5E-13","2.2E-12","3.9E-13","3.5E-13","2.7E-13","3.4E-12","8.1E-12","7.4E-11"
"Co-62m","13.91m","0.1","4.7E-12","1.6E-12","1.2E-12","5.9E-14","1.4E-12","1.1E-12","3.6E-10","6.7E-11","2E-11","4.7E-12","1.3E-11","5E-12","3E-12","2.2E-12","5.5E-12","1.8E-11","2.3E-12","1.9E-13","2E-12","9.9E-13","1.1E-11","4.2E-13","1.1E-12","1.9E-13","4.7E-12","3.6E-12","4.7E-11"
"Ni-56","6.10d","0.05","1.6E-10","5.6E-10","1.9E-10","4.1E-11","5.7E-11","6.4E-11","5.1E-10","1.4E-09","2.3E-09","3.9E-09","3E-09","2.7E-10","2E-10","2.3E-10","1.6E-09","2.6E-10","3.4E-10","5.4E-11","7.7E-11","1E-10","2.1E-10","2E-10","6.4E-11","5.4E-11","7.7E-10","2.5E-10","8.6E-10"
"Ni-57","36.08h","0.05","8.9E-11","3.6E-10","9.5E-11","6.5E-12","2.4E-11","2.1E-11","5.5E-10","1.4E-09","3.4E-09","5.6E-09","4.4E-09","1.8E-10","1.3E-10","1.4E-10","1.1E-09","1.7E-10","2.1E-10","1.1E-11","3.4E-11","5.8E-11","1.3E-10","1.1E-10","2.1E-11","1.1E-11","5E-10","1.6E-10","8.7E-10"
"Ni-59","7.5E4y","0.05","3.7E-11","3.8E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","4.5E-11","5.6E-11","1.5E-10","3.8E-10","2.5E-10","3.6E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","3.7E-11","6.3E-11"
"Ni-63","96y","0.05","8.7E-11","9.1E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","1.1E-10","1.3E-10","3.7E-10","9.2E-10","6.1E-10","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.7E-11","8.8E-11","1.5E-10"
