"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Eu-152","13.33y","0.0005","3.2E-10","4.2E-10","1.1E-09","4.9E-11","7.2E-11","7E-11","5.8E-10","1.6E-09","4.2E-09","1E-08","6.7E-09","3.3E-10","1.6E-09","2.1E-10","1.3E-09","3.3E-10","5.9E-10","4.3E-11","1.4E-10","9.8E-11","1.8E-10","1.4E-10","7E-11","4.3E-11","5.9E-10","2.3E-10","1.4E-09"
"Eu-152m","9.32h","0.0005","7.5E-12","2E-11","7.2E-12","6E-14","1.6E-12","1.2E-12","5.9E-10","1.1E-09","3.3E-09","3.5E-09","3.4E-09","1.5E-11","1.1E-11","9.8E-12","7.5E-11","1.8E-11","1.4E-11","2.7E-13","2.4E-12","3.7E-12","1.2E-11","5.4E-12","1.2E-12","2.7E-13","4E-11","3.3E-11","5E-10"
"Eu-154","8.8y","0.0005","2.9E-10","4.3E-10","2.3E-09","4.3E-11","6.7E-11","6.5E-11","7.6E-10","2E-09","6.9E-09","1.8E-08","1.2E-08","3.2E-10","1.9E-09","2.1E-10","1.4E-09","3.1E-10","7.2E-10","3.9E-11","1.3E-10","9.7E-11","1.8E-10","1.4E-10","6.5E-11","3.9E-11","6.2E-10","2.5E-10","2E-09"
"Eu-155","4.96y","0.0005","1.3E-11","3E-11","6.6E-10","1.5E-12","1.9E-12","2E-12","9.9E-11","2.7E-10","1.2E-09","3.5E-09","2.2E-09","1.7E-11","2.1E-10","1.2E-11","9.5E-11","1.7E-11","7E-11","1.2E-12","5.5E-12","3.5E-12","9.2E-12","6.9E-12","2E-12","1.2E-12","4.3E-11","1.7E-11","3.2E-10"
"Eu-156","15.19d","0.0005","8.1E-11","3.8E-10","1.2E-10","1.4E-12","2E-11","1.5E-11","8.3E-10","2.3E-09","8.8E-09","2.3E-08","1.5E-08","1.8E-10","1.4E-10","1.5E-10","1.2E-09","1.5E-10","2.3E-10","4.5E-12","2.8E-11","5.9E-11","1.2E-10","1.2E-10","1.5E-11","4.5E-12","5.3E-10","1.8E-10","2.2E-09"
"Eu-157","15.15h","0.0005","8.5E-12","3.2E-11","1.4E-11","4E-14","1.5E-12","1E-12","4.9E-10","1E-09","3.7E-09","5E-09","4.3E-09","1.9E-11","1.4E-11","1.4E-11","1.2E-10","2.1E-11","2.1E-11","2E-13","2.4E-12","4.4E-12","1.4E-11","8.2E-12","1E-12","2E-13","5.7E-11","3.5E-11","6E-10"
"Eu-158","45.9m","0.0005","5.1E-12","3.2E-12","1.8E-12","4.2E-14","1.3E-12","9.5E-13","6.4E-10","3.4E-10","1.7E-10","2.8E-11","1.1E-10","6.4E-12","3.9E-12","3.1E-12","1.3E-11","1.7E-11","3.7E-12","1.6E-13","1.9E-12","1.3E-12","1.1E-11","7.7E-13","9.5E-13","1.6E-13","1.1E-11","1E-11","9.4E-11"
"Gd-145","22.9m","0.0005","6E-12","3.7E-12","2.1E-12","6.6E-14","1.7E-12","1.3E-12","3E-10","8.7E-11","4.2E-11","1.9E-11","3.2E-11","7.2E-12","4.3E-12","3.5E-12","1.3E-11","2.2E-11","4E-12","2.4E-13","2.5E-12","1.5E-12","1.4E-11","9.7E-13","1.3E-12","2.4E-13","9.6E-12","5.2E-12","4.4E-11"
"Gd-146","48.3d","0.0005","4.5E-11","2.7E-10","1.7E-10","3.2E-12","8.5E-12","7.3E-12","3.2E-10","1E-09","3.3E-09","9.3E-09","5.8E-09","9.3E-11","1E-10","9.2E-11","8.7E-10","7.8E-11","1.6E-10","3.4E-12","1.5E-11","3.1E-11","6.1E-11","7.9E-11","7.3E-12","3.4E-12","3.5E-10","1.1E-10","9.6E-10"
"Gd-147","38.1h","0.0005","6.2E-11","2.7E-10","8.4E-11","4.3E-13","1.3E-11","9.2E-12","3.8E-10","1E-09","2.2E-09","3.5E-09","2.8E-09","1.4E-10","9.6E-11","1.1E-10","9.1E-10","1.3E-10","1.7E-10","2.2E-12","1.9E-11","3.9E-11","9.7E-11","8E-11","9.2E-12","2.2E-12","4.2E-10","1.2E-10","6.1E-10"
"Gd-148","93y","0.0005","2.4E-12","3.1E-12","1.9E-06","2.4E-12","2.4E-12","2.4E-12","7.4E-10","1.8E-09","1.1E-08","3.3E-08","2E-08","6.3E-10","3.4E-07","2.4E-12","2.4E-12","2.4E-12","1.5E-07","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","2.4E-12","4.7E-11","5.6E-08"
