"Nuclide","Half Life","Tye","f1","Adrenals","Urinary Bladder","Bone Suface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Bi-212","60.55m","F","0.05","6.4E-10","8.7E-10","6.3E-10","6.3E-10","6.3E-10","6.4E-10","1.2E-09","1E-09","1.3E-09","7.4E-10","1.1E-09","7.6E-08","6.3E-10","6.3E-10","6.4E-10","6.4E-10","6.3E-10","5.5E-07","5.6E-08","6.3E-10","6.4E-10","6.3E-10","6.4E-10","6.3E-10","6.4E-10","2.8E-07","2.1E-08"
"Bi-212","60.55m","M","0.05","7.5E-11","9.7E-11","7.2E-11","6.9E-11","7.4E-11","8E-11","1E-09","7.9E-10","5.6E-10","1.5E-10","3.9E-10","8.2E-09","7.5E-11","7.4E-11","8E-11","8.2E-11","7.2E-11","8.3E-07","3.3E-07","7E-11","7.7E-11","6.9E-11","8E-11","7.1E-11","7.8E-11","4.2E-07","6E-08"
"Bi-213","45.65m","F","0.05","5.3E-10","7E-10","5.3E-10","5.3E-10","5.3E-10","5.3E-10","9.7E-10","8.1E-10","1E-09","6.2E-10","8.3E-10","5.6E-08","5.3E-10","5.3E-10","5.3E-10","5.3E-10","5.3E-10","6.7E-07","6E-08","5.3E-10","5.3E-10","5.3E-10","5.3E-10","5.3E-10","5.3E-10","3.4E-07","2.5E-08"
"Bi-213","45.65m","M","0.05","5.6E-11","7.4E-11","5.6E-11","5.5E-11","5.6E-11","5.7E-11","8.3E-10","5.6E-10","3.9E-10","1.3E-10","2.8E-10","5.9E-09","5.6E-11","5.6E-11","5.6E-11","5.7E-11","5.6E-11","1E-06","2.9E-07","5.5E-11","5.6E-11","5.5E-11","5.7E-11","5.6E-11","5.6E-11","5.2E-07","6E-08"
"Bi-214","19.9m","F","0.05","2.3E-10","2.9E-10","2.3E-10","2.3E-10","2.3E-10","2.4E-10","4.8E-10","3.1E-10","3.3E-10","2.4E-10","2.9E-10","1.5E-08","2.3E-10","2.3E-10","2.3E-10","2.3E-10","2.3E-10","4.3E-07","4.5E-08","2.3E-10","2.3E-10","2.3E-10","2.4E-10","2.3E-10","2.3E-10","2.1E-07","1.6E-08"
"Bi-214","19.9m","M","0.05","2.6E-11","3E-11","2.5E-11","2.4E-11","2.6E-11","2.9E-11","4.3E-10","1.4E-10","6.1E-11","2.7E-11","4.7E-11","1.5E-09","2.6E-11","2.6E-11","2.6E-11","2.9E-11","2.5E-11","6.4E-07","1.2E-07","2.5E-11","2.7E-11","2.4E-11","2.9E-11","2.5E-11","2.6E-11","3.2E-07","3.1E-08"
"Po-203","36.7m","F","0.1","1.8E-11","1.2E-11","1.6E-11","8.9E-12","1E-11","2.1E-11","6.2E-11","4.6E-11","5.8E-11","5.1E-11","5.5E-11","3.9E-11","3.3E-11","1.5E-11","2.3E-11","2.3E-11","1.6E-11","1.9E-09","3.4E-11","7.8E-12","4.3E-11","7.8E-12","2.1E-11","1.1E-11","1.8E-11","9.5E-10","7.7E-11"
"Po-203","36.7m","M","0.1","1.5E-11","1E-11","1.1E-11","4.4E-12","1.2E-11","2.3E-11","9.6E-11","6.8E-11","9.4E-11","8.4E-11","9E-11","1.6E-11","1.8E-11","1.3E-11","3E-11","2.2E-11","1E-11","2.2E-09","1.5E-10","5.7E-12","2E-11","4.4E-12","2.3E-11","7.6E-12","2E-11","1.1E-09","1.1E-10"
"Po-203","36.7m","S","0.01","1.4E-11","1E-11","9.7E-12","3.6E-12","1.3E-11","2.3E-11","1E-10","7.3E-11","1E-10","9.4E-11","9.9E-11","1.2E-11","1.5E-11","1.3E-11","3.2E-11","2.2E-11","9.5E-12","2.2E-09","1.6E-10","5.4E-12","1.6E-11","4E-12","2.3E-11","7E-12","2.1E-11","1.1E-09","1.1E-10"
"Po-205","1.80h","F","0.1","3.5E-11","2.2E-11","3E-11","1.7E-11","1.9E-11","3.6E-11","7.3E-11","6.8E-11","8.6E-11","4.7E-11","6.9E-11","7.8E-11","6.8E-11","2.6E-11","3.9E-11","4.3E-11","3E-11","2.5E-09","7.6E-11","1.5E-11","8.5E-11","1.5E-11","3.6E-11","2E-11","3.4E-11","1.3E-09","1.1E-10"
