"Nuclide","Half Life","Tye","f1","Adrenals","Urinary Bladder","Bone Suface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"H-3","12.35y","V","1 OBT","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11"
"H-3","12.35y","V","1 HT","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15"
"H-3","12.35y","V","1 CH3T","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13"
"H-3","12.35y","V","1 HTO","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11"
"H-3","12.35y","F","1.0","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.3E-11","1.1E-11","1.1E-11","1.2E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11"
"H-3","12.35y","M","0.1","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","9.1E-12","1.8E-11","9.3E-11","2.6E-10","1.7E-10","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.4E-12","9.7E-10","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.6E-12","1.4E-10"
"H-3","12.35y","S","0.01","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","7.3E-12","2E-11","1.2E-10","3.4E-10","2.2E-10","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.4E-12","5E-09","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","6.7E-13","6.3E-10"
"Be-7","53.3d","M","0.005","1.1E-10","2.7E-11","7.2E-11","2.2E-11","1E-10","1.1E-10","6.5E-11","5.9E-11","7.4E-11","1.1E-10","8.9E-11","5.2E-11","8.3E-11","5.4E-11","6.2E-11","8.9E-11","6.6E-11","7.5E-10","3.7E-10","3.1E-11","7.9E-11","1.4E-11","1.1E-10","5.6E-11","3.8E-11","4E-10","1.2E-10"
"Be-7","53.3d","S","0.005","1.4E-10","2.1E-11","5.7E-11","1E-11","1.4E-10","1.4E-10","7.8E-11","5.5E-11","7.2E-11","1E-10","8.4E-11","5.4E-11","1E-10","5.9E-11","5.5E-11","1.1E-10","5.4E-11","7.7E-10","5.2E-10","3.1E-11","9.7E-11","7.6E-12","1.4E-10","6.5E-11","3.2E-11","4.1E-10","1.4E-10"
"Be-10","1.6E6y","M","0.005","9.6E-10","1E-09","7.3E-08","9.6E-10","9.6E-10","9.6E-10","1.2E-09","1.7E-09","6E-09","1.5E-08","1E-08","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","3.4E-08","1.5E-08","1.1E-07","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.8E-10","2E-08"
"Be-10","1.6E6y","S","0.005","1.1E-10","1.2E-10","8.5E-09","1.1E-10","1.1E-10","1.1E-10","4.3E-10","1E-09","5.6E-09","1.6E-08","1E-08","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","3.7E-09","6E-08","4.9E-07","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.5E-10","6.1E-08"
"C-11","20.38m","V","1 CO2","6.9E-12","6.5E-12","6.6E-12","6.2E-12","5.4E-12","6.5E-12","6.3E-12","6.9E-12","6.6E-12","6.5E-12","6.6E-12","6.7E-12","6.7E-12","6.2E-12","7E-12","7E-12","6.2E-12","6.9E-12","6.3E-12","5.3E-12","6.7E-12","6.1E-12","6.5E-12","6.9E-12","7E-12","6.2E-12","6.5E-12"
"C-11","20.38m","V","1 CO","3.8E-12","3.5E-12","3.6E-12","3.4E-12","3E-12","3.5E-12","3.4E-12","3.8E-12","3.6E-12","3.6E-12","3.6E-12","3.6E-12","3.7E-12","3.4E-12","3.8E-12","3.9E-12","3.4E-12","3.8E-12","3.5E-12","2.9E-12","3.6E-12","3.3E-12","3.5E-12","3.8E-12","3.8E-12","3.6E-12","3.5E-12"
"C-11","20.38m","V","1 CH4","8.6E-14","8.1E-14","8.2E-14","7.8E-14","6.8E-14","8.1E-14","7.8E-14","8.6E-14","8.2E-14","8.2E-14","8.2E-14","8.3E-14","8.4E-14","7.7E-14","8.7E-14","8.8E-14","7.8E-14","8.6E-14","7.9E-14","6.7E-14","8.3E-14","7.6E-14","8.1E-14","8.6E-14","8.8E-14","8.3E-14","8.1E-14"
"C-11","20.38m","V","1.0","1E-11","9.7E-12","9.9E-12","9.3E-12","8.2E-12","9.7E-12","9.4E-12","1E-11","9.9E-12","9.8E-12","9.8E-12","1E-11","1E-11","9.3E-12","1E-11","1.1E-11","9.4E-12","1E-11","9.5E-12","8E-12","1E-11","9.1E-12","9.7E-12","1E-11","1.1E-11","9.9E-12","9.7E-12"
"C-11","20.38m","F","1.0","3.2E-12","2.1E-12","2.9E-12","2.5E-12","2.8E-12","5.8E-12","5.3E-11","3.9E-12","3.2E-12","2.4E-12","2.8E-12","2.7E-12","3E-12","3.4E-12","2.4E-12","4.8E-12","2.6E-12","8E-10","3.2E-11","2.2E-12","3.6E-12","1.9E-12","5.8E-12","2.9E-12","2.5E-12","4E-10","3.2E-11"
"C-11","20.38m","M","0.1","2.5E-12","8.3E-13","1.6E-12","9.4E-13","2.3E-12","5.2E-12","8.3E-11","2.5E-11","8.7E-12","1.9E-12","5.8E-12","1.8E-12","2.3E-12","2.4E-12","2.1E-12","5E-12","1.5E-12","1.1E-09","8.3E-11","1E-12","3.2E-12","3.6E-13","5.2E-12","1.5E-12","2E-12","5.5E-10","4.9E-11"
"C-11","20.38m","S","0.01","2.4E-12","6.9E-13","1.5E-12","7.9E-13","2.3E-12","5.1E-12","8.6E-11","2.6E-11","8.9E-12","1.8E-12","5.9E-12","1.7E-12","2.2E-12","2.3E-12","2E-12","5E-12","1.4E-12","1.1E-09","8.9E-11","8.9E-13","3.2E-12","2.1E-13","5.1E-12","1.3E-12","1.9E-12","5.6E-10","5.1E-11"
"C-14","5730y","V","1 CO2","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11"
"C-14","5730y","V","1 CO","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12","2.8E-12"
"C-14","5730y","V","1 CH4","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12","4.9E-12"
"C-14","5730y","V","1.0","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10","9.7E-10"
"C-14","5730y","F","1.0","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.6E-10","3.4E-10","3.4E-10","3.5E-10","3.5E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","1.1E-09","3.6E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","3.4E-10","7.2E-10","3.6E-10"
"C-14","5730y","M","0.1","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.6E-10","2.4E-10","8.9E-10","2.3E-09","1.5E-09","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","6.8E-09","3.1E-08","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","4E-09"
"C-14","5730y","S","0.01","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","7.4E-11","1.9E-10","1.1E-09","3E-09","1.9E-09","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","3.1E-08","8.9E-08","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","1.2E-11","2.9E-11","1.1E-08"
"F-18","109.77m","F","1.0","1.2E-11","3.8E-12","7.9E-11","8.2E-12","6.5E-12","1.8E-11","9.7E-11","9.5E-12","9.8E-12","8.4E-12","9.2E-12","8.2E-12","6.2E-12","1.1E-11","7.1E-12","1.2E-11","1E-10","2.2E-09","4.8E-11","5.6E-12","8.4E-12","2.8E-12","1.8E-11","6.5E-12","5.4E-12","1.1E-09","9.1E-11"
"F-18","109.77m","M","1.0","1.4E-11","2.9E-12","4.7E-11","6.1E-12","1.1E-11","2.2E-11","1.8E-10","1.1E-11","1.2E-11","7E-12","9.9E-12","8.1E-12","9.5E-12","1.1E-11","5.4E-12","1.8E-11","6E-11","2.7E-09","3.7E-10","5.3E-12","1.3E-11","1.8E-12","2.2E-11","7.5E-12","4.4E-12","1.4E-09","1.5E-10"
"F-18","109.77m","S","1.0","1.4E-11","2.7E-12","4.3E-11","5.9E-12","1.1E-11","2.3E-11","1.9E-10","1.1E-11","1.2E-11","6.9E-12","1E-11","8.1E-12","9.9E-12","1.1E-11","5.2E-12","1.9E-11","5.5E-11","2.8E-09","4.1E-10","5.2E-12","1.3E-11","1.7E-12","2.3E-11","7.6E-12","4.3E-12","1.4E-09","1.5E-10"
"Na-22","2.602y","F","1.0","3.2E-09","3.5E-09","6.2E-09","2.7E-09","1.9E-09","2.7E-09","2.5E-09","2.8E-09","2.7E-09","3E-09","2.8E-09","2.8E-09","2.6E-09","2.6E-09","3E-09","2.9E-09","4.5E-09","3.4E-08","2.6E-09","1.9E-09","2.7E-09","2.3E-09","2.7E-09","2.8E-09","2.9E-09","1.8E-08","3.8E-09"
"Na-24","15.00h","F","1.0","3.4E-10","3.6E-10","5.9E-10","3.1E-10","2.6E-10","4.6E-10","5.9E-10","3.1E-10","3.3E-10","3.5E-10","3.4E-10","3.1E-10","3E-10","3.4E-10","3.1E-10","3.4E-10","4.4E-10","2.2E-08","3.7E-10","2.4E-10","3.1E-10","2.6E-10","4.6E-10","3.3E-10","3.1E-10","1.1E-08","9.3E-10"
"Mg-28","20.91h","F","0.5","4.5E-10","7.4E-10","3.2E-09","3.9E-10","3.5E-10","5.3E-10","1.1E-09","1.4E-09","5.6E-09","8.5E-09","6.9E-09","4.3E-10","4.2E-10","4.6E-10","6.8E-10","4.5E-10","2.2E-09","2.5E-08","5E-10","3.4E-10","4.1E-10","3.7E-10","5.3E-10","4E-10","5.3E-10","1.3E-08","2.2E-09"
"Mg-28","20.91h","M","0.5","4E-10","4.3E-10","1.5E-09","2E-10","3.4E-10","4.9E-10","1.6E-09","2.2E-09","8.1E-09","1.2E-08","1E-08","3.1E-10","3.7E-10","3.4E-10","6.4E-10","4E-10","1.1E-09","2.6E-08","9.2E-09","2.1E-10","3.5E-10","2.1E-10","4.9E-10","2.7E-10","4.3E-10","1.3E-08","3.5E-09"
"Al-26","7.16E5y","F","0.01","2.7E-08","2.4E-08","6.3E-08","2.2E-08","1.8E-08","2.2E-08","2.2E-08","2.7E-08","3.2E-08","4.7E-08","3.9E-08","2.5E-08","2.3E-08","2.2E-08","2.7E-08","2.5E-08","7.6E-08","5.9E-08","2.2E-08","1.8E-08","2.4E-08","2E-08","2.2E-08","2.4E-08","2.6E-08","2.2E-08","3.2E-08"
"Al-26","7.16E5y","M","0.01","2.2E-08","9.6E-09","2.7E-08","8.8E-09","1.9E-08","2E-08","1.5E-08","1.4E-08","2.2E-08","4E-08","3E-08","1.4E-08","1.7E-08","1.3E-08","1.3E-08","1.9E-08","3.1E-08","6.2E-08","2.3E-07","9.1E-09","1.7E-08","7.8E-09","2E-08","1.4E-08","1.1E-08","1.2E-08","4.4E-08"
"Si-31","157.3m","F","0.01","1.5E-11","1.6E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","2.1E-10","2.8E-10","3.8E-10","1.6E-10","2.8E-10","1.5E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","7.9E-10","5.8E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","1.5E-11","4E-10","9.5E-11"
"Si-31","157.3m","M","0.01","1.6E-12","1.7E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","3.7E-10","5.1E-10","6.8E-10","2.7E-10","5E-10","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.2E-09","5.7E-10","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","1.6E-12","6E-10","2E-10"
"Si-31","157.3m","S","0.01","8.4E-14","8.5E-14","7.9E-14","7.4E-14","8.2E-14","9.2E-14","3.9E-10","5.3E-10","7.1E-10","2.8E-10","5.3E-10","8.2E-14","8.5E-14","8.3E-14","1E-13","9.1E-14","7.9E-14","1.2E-09","6.3E-10","7.5E-14","8.5E-14","7.3E-14","9.2E-14","7.7E-14","9.4E-14","6.2E-10","2.2E-10"
"Si-32","450y","F","0.01","9.7E-09","1E-08","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.8E-09","9.8E-09","1.4E-08","2.4E-08","1.8E-08","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.7E-09","1.1E-08","9.8E-09","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.7E-09","9.8E-09","1.1E-08"
"Si-32","450y","M","0.01","3.8E-09","4E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.9E-09","4.2E-09","8.4E-09","1.8E-08","1.3E-08","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","2.2E-08","2.6E-07","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.8E-09","3.6E-08"
"Si-32","450y","S","0.01","4.8E-10","5.2E-10","4.8E-10","4.8E-10","4.8E-10","4.8E-10","7.6E-10","1.3E-09","5.9E-09","1.7E-08","1.1E-08","4.8E-10","4.8E-10","4.8E-10","4.8E-10","4.8E-10","4.8E-10","9.2E-08","1.6E-06","4.8E-10","4.8E-10","4.8E-10","4.8E-10","4.8E-10","4.8E-10","5.4E-10","1.9E-07"
"P-32","14.29d","F","0.8","9.6E-10","1.7E-09","1.1E-08","9.6E-10","9.6E-10","9.6E-10","1.3E-09","1.1E-09","2.6E-09","5.4E-09","3.8E-09","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","1.5E-08","3.6E-09","1E-09","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","3.2E-09"
"P-32","14.29d","M","0.8","6.5E-10","1.2E-09","7.4E-09","6.5E-10","6.5E-10","6.5E-10","1.3E-09","1E-09","3.2E-09","7.6E-09","5.1E-09","6.5E-10","6.5E-10","6.5E-10","6.5E-10","6.5E-10","1E-08","5E-09","4.6E-08","6.5E-10","6.5E-10","6.5E-10","6.5E-10","6.5E-10","6.5E-10","6.6E-10","8E-09"
"P-33","25.4d","F","0.8","1.4E-10","2.4E-10","1.8E-09","1.4E-10","1.4E-10","1.4E-10","1.7E-10","1.6E-10","3.3E-10","6.8E-10","4.8E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","9.4E-10","1.7E-09","1.6E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","1.4E-10","3E-10"
"P-33","25.4d","M","0.8","9.6E-11","1.7E-10","1.3E-09","9.6E-11","9.6E-11","9.6E-11","1.7E-10","1.4E-10","4E-10","9.3E-10","6.3E-10","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","6.6E-10","3.3E-09","2.1E-08","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.6E-11","9.8E-11","2.8E-09"
"S-35","87.44d","V","0.8SO2","2.5E-10","5.1E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.7E-10","2.6E-10","5.3E-10","1E-09","7.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","6.6E-10","3.8E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","2.5E-10","3.4E-10"
"S-35","87.44d","V","0.8CS2","2.3E-09","2.5E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.4E-09","2.4E-09","2.5E-09","2.8E-09","2.7E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.8E-09","2.5E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.3E-09","2.6E-09","2.4E-09"
"S-35","87.44d","F","0.8","1.1E-10","2.2E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.3E-10","1.2E-10","2.8E-10","5.9E-10","4.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","8.8E-10","1.3E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","5E-10","1.8E-10"
"S-35","87.44d","M","0.1","2.6E-11","5.3E-11","2.6E-11","2.6E-11","2.6E-11","2.6E-11","7.4E-11","1.5E-10","7.8E-10","2.2E-09","1.4E-09","2.6E-11","2.6E-11","2.6E-11","2.6E-11","2.6E-11","2.6E-11","3.4E-09","2.1E-08","2.6E-11","2.6E-11","2.6E-11","2.6E-11","2.6E-11","2.6E-11","3E-11","2.8E-09"
"S-35","87.44d","S","0.01","1.3E-12","2.7E-12","1.3E-12","1.3E-12","1.3E-12","1.3E-12","5.3E-11","1.5E-10","8.8E-10","2.5E-09","1.6E-09","1.3E-12","1.3E-12","1.3E-12","1.3E-12","1.3E-12","1.3E-12","5.1E-09","2.9E-08","1.3E-12","1.3E-12","1.3E-12","1.3E-12","1.3E-12","1.3E-12","6.2E-12","3.6E-09"
"Cl-36","3.01E5y","F","1.0","1E-09","1.8E-09","1E-09","1E-09","1E-09","1E-09","1.1E-09","1E-09","1.1E-09","1.2E-09","1.2E-09","1E-09","1E-09","1E-09","1E-09","1E-09","1E-09","3.8E-09","1E-09","1E-09","1E-09","1E-09","1E-09","1E-09","1E-09","2.4E-09","1.1E-09"
"Cl-36","3.01E5y","M","1.0","9.9E-10","1.8E-09","9.9E-10","9.9E-10","9.9E-10","9.9E-10","1.3E-09","1E-09","1.1E-09","1.3E-09","1.2E-09","9.9E-10","9.9E-10","9.9E-10","9.9E-10","9.9E-10","9.9E-10","1.4E-08","1.2E-07","9.9E-10","9.9E-10","9.9E-10","9.9E-10","9.9E-10","9.9E-10","1E-09","1.5E-08"
"Cl-38","37.21m","F","1.0","1.4E-11","1.3E-11","1.4E-11","1.3E-11","1.4E-11","1.9E-11","3E-10","2.1E-11","1.7E-11","1.3E-11","1.5E-11","1.3E-11","1.4E-11","1.5E-11","1.3E-11","1.7E-11","1.3E-11","1.2E-09","7.4E-11","1.2E-11","1.5E-11","1.2E-11","1.9E-11","1.4E-11","1.3E-11","5.9E-10","8.4E-11"
"Cl-38","37.21m","M","1.0","9.1E-12","5.5E-12","7.4E-12","6.4E-12","8.9E-12","1.4E-11","5E-10","2E-11","1.3E-11","6.6E-12","1E-11","7.4E-12","8.5E-12","8.8E-12","6.2E-12","1.3E-11","6.9E-12","1.5E-09","2.6E-10","6.1E-12","1E-11","5E-12","1.4E-11","7.6E-12","6.1E-12","7.7E-10","1.4E-10"
"Cl-39","55.6m","F","1.0","1.6E-11","1.4E-11","1.5E-11","1.4E-11","1.4E-11","2.2E-11","2.2E-10","2E-11","1.8E-11","1.4E-11","1.6E-11","1.5E-11","1.5E-11","1.6E-11","1.4E-11","1.9E-11","1.4E-11","1.6E-09","6.2E-11","1.3E-11","1.7E-11","1.2E-11","2.2E-11","1.5E-11","1.4E-11","8E-10","8.4E-11"
"Cl-39","55.6m","M","1.0","1.2E-11","6.9E-12","9.7E-12","7.9E-12","1.2E-11","1.9E-11","3.7E-10","1.8E-11","1.5E-11","8.5E-12","1.2E-11","9.6E-12","1.1E-11","1.2E-11","7.8E-12","1.8E-11","8.8E-12","2E-09","2.7E-10","7.5E-12","1.4E-11","5.9E-12","1.9E-11","9.9E-12","7.7E-12","1E-09","1.3E-10"
"K-40","1.28E9y","F","1.0","6.1E-09","6.9E-09","6.1E-09","6E-09","5.9E-09","6.1E-09","6.3E-09","6.2E-09","1.2E-08","2.4E-08","1.7E-08","6.1E-09","6.1E-09","6E-09","6.2E-09","6.1E-09","6E-09","1E-08","6.1E-09","5.9E-09","6.1E-09","6E-09","6.1E-09","6.1E-09","6.1E-09","6E-09","7.5E-09"
"K-42","12.36h","F","1.0","2.7E-10","2.9E-10","2.7E-10","2.7E-10","2.6E-10","2.8E-10","8.5E-10","2.8E-10","4.3E-10","4.6E-10","4.4E-10","2.7E-10","2.7E-10","2.7E-10","2.7E-10","2.7E-10","2.7E-10","3E-09","3.4E-10","2.6E-10","2.7E-10","2.6E-10","2.8E-10","2.7E-10","2.7E-10","1.6E-09","4.4E-10"
"K-43","22.6h","F","1.0","2.1E-10","2E-10","2.1E-10","1.9E-10","1.7E-10","2.6E-10","3.4E-10","2.1E-10","2.8E-10","3.3E-10","3E-10","2E-10","2E-10","2E-10","2.1E-10","2.2E-10","1.9E-10","9.6E-09","2.4E-10","1.6E-10","2E-10","1.8E-10","2.6E-10","2.1E-10","2.1E-10","4.9E-09","4.7E-10"
"K-44","22.13m","F","1.0","8.9E-12","7E-12","8.4E-12","7.8E-12","8.4E-12","1.4E-11","2E-10","1.3E-11","9.5E-12","7.6E-12","8.7E-12","8.1E-12","8.7E-12","9.4E-12","7.6E-12","1.2E-11","7.8E-12","1.1E-09","6.1E-11","7.1E-12","9.7E-12","6.6E-12","1.4E-11","8.6E-12","7.6E-12","5.5E-10","6.5E-11"
"K-45","20m","F","1.0","5.9E-12","4.5E-12","5.6E-12","5.1E-12","5.6E-12","9.5E-12","1.2E-10","8.1E-12","6.2E-12","5.1E-12","5.7E-12","5.3E-12","5.7E-12","6.3E-12","4.9E-12","8.2E-12","5.1E-12","9.4E-10","4.6E-11","4.5E-12","6.6E-12","4.1E-12","9.5E-12","5.7E-12","4.9E-12","4.7E-10","4.8E-11"
"Ca-41","1.4E5y","F","0.4","7E-12","1.1E-11","5.1E-09","7E-12","7E-12","7E-12","8.2E-12","9.1E-12","3.8E-11","9.4E-11","6.2E-11","7E-12","7E-12","7E-12","7E-12","7E-12","1.7E-09","7E-12","7.1E-12","7E-12","7E-12","7E-12","7E-12","7E-12","7E-12","7.1E-12","2.6E-10"
"Ca-41","1.4E5y","M","0.1","2.7E-12","4E-12","2E-09","2.7E-12","2.7E-12","2.7E-12","5.5E-12","9.9E-12","5.3E-11","1.5E-10","9.4E-11","2.7E-12","2.7E-12","2.7E-12","2.7E-12","2.7E-12","6.6E-10","2.7E-12","4.8E-10","2.7E-12","2.7E-12","2.7E-12","2.7E-12","2.7E-12","2.7E-12","2.8E-12","1.7E-10"
"Ca-41","1.4E5y","S","0.01","2.6E-13","4.1E-13","3E-10","2.6E-13","2.6E-13","2.6E-13","3.7E-12","1E-11","6E-11","1.7E-10","1.1E-10","2.6E-13","2.6E-13","2.6E-13","2.6E-13","2.6E-13","9E-11","3.4E-12","3E-09","2.6E-13","2.6E-13","2.6E-13","2.6E-13","2.6E-13","2.6E-13","4.4E-13","3.8E-10"
"Ca-45","163d","F","0.4","1.1E-10","1.7E-10","2.5E-08","1.1E-10","1.1E-10","1.1E-10","1.4E-10","1.7E-10","7.7E-10","2E-09","1.3E-09","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","7.6E-09","1.7E-09","1.3E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.1E-10","1.4E-09"
"Ca-45","163d","M","0.1","3.3E-11","5E-11","7.6E-09","3.3E-11","3.3E-11","3.3E-11","1.1E-10","2.3E-10","1.3E-09","3.7E-09","2.3E-09","3.3E-11","3.3E-11","3.3E-11","3.3E-11","3.3E-11","2.3E-09","6.3E-09","3.9E-08","3.3E-11","3.3E-11","3.3E-11","3.3E-11","3.3E-11","3.3E-11","4E-11","5.3E-09"
"Ca-45","163d","S","0.01","1.8E-12","2.6E-12","4E-10","1.8E-12","1.8E-12","1.8E-12","8.6E-11","2.4E-10","1.4E-09","4.1E-09","2.6E-09","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.2E-10","1.1E-08","5.7E-08","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.8E-12","1.1E-11","7.2E-09"
"Ca-47","4.53d","F","0.4","5.7E-10","6.3E-10","6.7E-09","4.9E-10","3.8E-10","5E-10","6.2E-10","9E-10","2.9E-09","6.7E-09","4.5E-09","5.1E-10","4.6E-10","5E-10","6.9E-10","4.9E-10","2.6E-09","1.5E-08","5.1E-10","4E-10","4.6E-10","4.1E-10","5E-10","4.5E-10","5.5E-10","7.7E-09","1.7E-09"
"Ca-47","4.53d","M","0.1","4.4E-10","2.8E-10","1.4E-09","1.3E-10","3.9E-10","4.6E-10","6.9E-10","1.4E-09","5.5E-09","1.4E-08","9E-09","2.7E-10","3.7E-10","2.9E-10","6.2E-10","3.8E-10","6.3E-10","1.6E-08","2.2E-08","1.6E-10","3.4E-10","1.5E-10","4.6E-10","2.3E-10","3.6E-10","2.9E-10","4.2E-09"
